Name,1 Month
"WDL1k
Windeln de",+56.00%
"0QY
Qyou Media",+49.46%
"AMI1
Medondo Holding AG",+49.72%
"4PY
Contact Gold",+40.00%
"ELMG
Elcora Adv Materials",+70.00%
"SUT1
Productive Tech",+181.97%
"FTQ0
China Fortune",+57.89%
"2RE1
Cadence Minerals",+50.54%
"GWI2k
Gerry Weber",+48.76%
"2HM
Hummingbird",+47.06%
