Name,1 Month
"PEGYO
Pera GYO",+49.87%
"EUKYO
Euro Kapital",+41.77%
"VANGD
Vanet",+60.64%
"MARKA
Marka Yatirim",+143.75%
"KLRHO
Kiler Holding AS",+30.55%
"YAPRK
Yaprak Sut",+62.18%
"KLNMA
Turkiye Kalkinma",+111.54%
"RAYSG
Ray Sigorta",+67.24%
"SODSN
Sodas Sodyum",+51.33%
"SNPAM
Sonmez Pamuklu",+37.60%
"ORMA
Orma",+59.66%
"EMNIS
Eminis Ambalaj",+36.75%
"ISKUR
Turkiye Is Bankasi",+102.97%
