Name,1 Month
"MII
Milton Capital",+40.00%
"KMK
Kromek",+35.14%
"RGD
Real Good Food",+50.00%
"OBI
Ondine Biomedical",+35.14%
"TGRT
Tirupati Graphite",+65.15%
"VALX
Valirx",+56.05%
"SVE
Starvest",+81.82%
"SYS
SysGroup PLC",+41.94%
"SPHN
Sopheon PLC",+58.62%
"0NE1
MFE MEDIAFOREUROPE NV B",+106.87%
