Name,1 Month
"300322
Huizhou Speed Wireless",+50.42%
"600200
Jiangsu Wuzhong",+30.20%
"603158
Changzhou Tenglong Auto Parts",+36.28%
"300630
Hainan Poly Pharm",+46.06%
"002437
Harbin Gloria Pharmaceuticals",+30.09%
"300313
Xinjiang Tianshan Animal",+122.82%
"002889
Shenzhen Easttop Supply",+32.53%
"603266
Ningbo Tianlong Electronics",+95.38%
"000628
Cd Hi-Tech Dev A",+135.76%
"603929
L&K Engineering Suzhou",+37.03%
