Name,1 Month
"037950
Elcomtec",+50.79%
"066790
Korea Cable TV Chung Buk System",+82.10%
"267850
Asiana IDT",+40.67%
"010100
Korea Flange",+39.72%
"071460
WiniaDimchae",+61.52%
"204840
GL Pharm Tech",+30.05%
"091970
Nano Chem Tech",+46.62%
"419700
EVPS",+123.91%
