Name,1 Month
"PCAR
Prima Cakrawala Abadi",+76.00%
"PRIM
Royal Prima",+39.19%
"FIRE
Alfa Energi Investama",+139.13%
"PMMP
Panca Mitra",+32.09%
"CASH
Cashlez World",+59.14%
"MRAT
Mustika Ratu",+31.82%
