Name,1 Month
"IMPI
Impiana Hotels",+106.67%
"SALU
Salutica Bhd",+100.00%
"JETS
Kumpulan Jetson",+35.90%
"JOEH
Joe Holding Bhd",+633.33%
"MMAG
MMAG Holdings",+600.00%
"ALDR
Aldrich Resources Bhd",+33.33%
